Town,Bdrs,median_ownership_per_bed,own_listings,ZIP_CODE
"Rockland, MA",3,1248.37,72,02370
"Rockland, MA",4,1093.19,24,02370
"Rockland, MA",5,830.79,3,02370
"Rockport, MA",3,1657.22,10,01966
"Rockport, MA",4,1568.36,4,01966
"Rowley, MA",3,1417.36,7,01969
"Rowley, MA",4,1597.8,17,01969
"Royalston, MA",3,887.49,5,01368
"Russell, MA",3,708.68,5,01071
"Russell, MA",4,678.7,3,01071
"Rutland, MA",3,1149.15,49,01543
"Rutland, MA",4,1081.83,30,01543
"Salem, MA",3,1362.85,59,01970
"Salem, MA",4,1226.56,31,01970
"Salisbury, MA",3,1417.36,30,01952
"Salisbury, MA",4,1279.71,12,01952
"Salisbury, MA",5,1025.73,6,01952
"Sandwich, MA",3,1417.36,95,02563
"Sandwich, MA",4,1112.08,38,02563
"Sandwich, MA",5,1462.06,4,02537
"Saugus, MA",3,1452.25,60,01906
"Saugus, MA",4,1234.74,39,01906
"Saugus, MA",5,1239.65,12,01906
"Savoy, MA",3,854.78,3,01256
"Scituate, MA",3,1503.49,16,02066
"Scituate, MA",4,1406.46,19,02066
"Scituate, MA",5,1439.17,7,02066
"Seekonk, MA",3,1242.92,56,02771
"Seekonk, MA",4,1087.55,28,02771
"Seekonk, MA",5,1242.92,6,02771
"Sharon, MA",3,1493.68,51,02067
"Sharon, MA",4,1496.41,28,02067
"Sharon, MA",5,1051.9,3,02067
"Shelburne, MA",3,1030.31,4,01370
"Shirley, MA",3,1133.89,18,01464
"Shirley, MA",4,1144.79,15,01464
"Shrewsbury, MA",3,1297.43,82,01545
"Shrewsbury, MA",4,1337.77,67,01545
"Shrewsbury, MA",5,1308.33,19,01545
"Shrewsbury, MA",6,1417.36,4,01545
"Shutesbury, MA",3,773.01,10,01072
"Shutesbury, MA",4,915.83,3,01072
"Somerset, MA",3,1068.47,112,02726
"Somerset, MA",4,940.36,31,02726
"Somerville, MA",3,1662.67,4,02144
"Somerville, MA",5,1772.79,3,02144
"South Hadley, MA",3,904.93,69,01075
"South Hadley, MA",4,729.4,41,01075
"South Hadley, MA",5,850.42,5,01075
"Southampton, MA",3,1139.34,28,01073
"Southampton, MA",4,1115.35,14,01073
"Southborough, MA",3,1520.94,14,01772
"Southborough, MA",4,1476.78,22,01772
"Southborough, MA",5,1570.0,3,01772
"Southbridge, MA",3,828.61,64,01550
"Southbridge, MA",4,668.07,18,01550
"Southbridge, MA",5,626.46,6,01550
"Southbridge, MA",6,497.71,6,01550
"Southwick, MA",3,926.74,44,01077
"Southwick, MA",4,894.57,23,01077
"Southwick, MA",5,994.33,5,01077
"Spencer, MA",3,948.54,53,01562
"Spencer, MA",4,883.12,17,01562
"Spencer, MA",5,856.96,3,01562
"Springfield, MA",3,675.97,428,01118
"Springfield, MA",4,560.95,152,01118
"Springfield, MA",5,523.33,16,01118
"Springfield, MA",6,490.62,37,01109
"Sterling, MA",3,1253.82,20,01564
"Sterling, MA",4,1091.56,20,01564
"Stoneham, MA",3,1564.55,34,02180
"Stoneham, MA",4,1524.21,21,02180
"Stoneham, MA",5,1138.25,3,02180
"Stoneham, MA",6,1125.71,4,02180
"Stoughton, MA",3,1242.92,99,02072
"Stoughton, MA",4,1158.69,72,02072
"Stoughton, MA",5,1038.16,8,02072
"Stow, MA",3,1505.13,16,01775
"Stow, MA",4,1443.26,18,01775
"Sturbridge, MA",3,1063.02,59,01566
"Sturbridge, MA",4,933.82,40,01566
"Sturbridge, MA",5,1036.2,5,01566
